Player,Team,Position,Experience,Salary
Jonathan Lucroy,Milwaukee Brewers,Catcher,16,424000
Jonathan Papelbon,Boston Red Sox,Pitcher,10,12000000
Jonathan Sanchez,San Francisco Giants,Pitcher,4,4800000
Jonny Gomes,Cincinnati Reds,Outfielder,2,1750000
Jonny Venters,Atlanta Braves,Pitcher,8,429500
Jordan Smith,Cincinnati Reds,Pitcher,23,416500
Jordan Walden,Los Angeles Angels,Pitcher,11,414000
Jordan Zimmermann,Washington Nationals,Pitcher,8,415000
Jorge Cantu,San Diego Padres,First Baseman,6,850000
Jorge De La Rosa,Colorado Rockies,Pitcher,3,10000000
Jorge Posada,New York Yankees,Catcher,27,13100000
Jose A. Bautista,Toronto Blue Jays,Outfielder,19,8000000
Jose Arredondo,Cincinnati Reds,Pitcher,10,480000
Jose Ascanio,Pittsburgh Pirates,Pitcher,8,416000
Jose C. Lopez,Colorado Rockies,Third Baseman,5,3600000
Jose Contreras,Philadelphia Phillies,Pitcher,20,2500000
Jose Mijares,Minnesota Twins,Pitcher,15,445000
Jose Molina,Toronto Blue Jays,Catcher,8,1200000
Jose Morales,Colorado Rockies,Catcher,31,420000
Jose Reyes,New York Mets,Shortstop,5,11000000
Jose Tabata,Pittsburgh Pirates,Outfielder,12,428000
Jose Valverde,Detroit Tigers,Pitcher,2,7000000
Josh Beckett,Boston Red Sox,Pitcher,22,17000000
Josh Hamilton,Texas Rangers,Outfielder,21,8750000
Josh Johnson,Miami Marlins,Pitcher,26,7750000
Josh Lueke,Seattle Mariners,Pitcher,13,414000
Josh Rodriguez,Pittsburgh Pirates,Shortstop,18,414000
Josh Rupe,Baltimore Orioles,Pitcher,8,475000
Josh Thole,New York Mets,Catcher,24,420000
Josh Tomlin,Cleveland Indians,Pitcher,15,417200
Josh Willingham,Oakland Athletics,Outfielder,11,6000000
Juan C. Gutierrez,Arizona Diamondbacks,Pitcher,10,430500
Juan Cruz,Tampa Bay Rays,Pitcher,16,850000
Juan Francisco,Cincinnati Reds,Third Baseman,4,414000
Juan Miranda,Arizona Diamondbacks,First Baseman,3,420000
Juan Pierre,Chicago White Sox,Outfielder,27,8500000
Juan Rivera,Toronto Blue Jays,Outfielder,12,5250000
Juan Uribe,Los Angeles Dodgers,Second Baseman,22,5295910
Julio Borbon,Texas Rangers,Outfielder,36,490000
Junichi Tazawa,Boston Red Sox,Pitcher,14,1500000
Justin Duchscherer,Baltimore Orioles,Pitcher,4,700000
Justin Germano,Cleveland Indians,Pitcher,10,415600
Justin Masterson,Cleveland Indians,Pitcher,1,468400
Justin Morneau,Minnesota Twins,First Baseman,5,15000000
Justin Smoak,Seattle Mariners,First Baseman,19,419000
Justin Upton,Arizona Diamondbacks,Outfielder,12,4458333
Justin Verlander,Detroit Tigers,Pitcher,14,12850000
Kam Mickolio,Arizona Diamondbacks,Pitcher,15,417000
Kameron Loe,Milwaukee Brewers,Pitcher,12,1250000
Kanekoa Texeira,Kansas City Royals,Pitcher,3,426000
Kelly Johnson,Arizona Diamondbacks,Second Baseman,12,5850000
Kelly Shoppach,Tampa Bay Rays,Catcher,16,3000000
Kendrys Morales,Los Angeles Angels,First Baseman,19,2975000
Kenley Jansen,Los Angeles Dodgers,Pitcher,10,416000
Kerry Wood,Chicago Cubs,Pitcher,11,1500000
Kevin Correia,Pittsburgh Pirates,Pitcher,12,4000000
Kevin Gregg,Baltimore Orioles,Pitcher,16,4200000
Kevin Hart,Pittsburgh Pirates,Pitcher,3,417000
Kevin Jepsen,Los Angeles Angels,Pitcher,3,435000
Kevin Kouzmanoff,Oakland Athletics,Third Baseman,29,4750000
Kevin Slowey,Minnesota Twins,Pitcher,5,2700000
Kevin Youkilis,Boston Red Sox,Third Baseman,7,12250000
Kila Ka`aihue,Kansas City Royals,First Baseman,12,419000
Koji Uehara,Baltimore Orioles,Pitcher,30,3000000
Kosuke Fukudome,Chicago Cubs,Outfielder,13,14500000
Koyie Hill,Chicago Cubs,Catcher,26,850000
Kris Medlen,Atlanta Braves,Pitcher,25,429500
Kurt Suzuki,Oakland Athletics,Catcher,19,3437500
Kyle Blanks,San Diego Padres,Outfielder,11,424700
Kyle Davies,Kansas City Royals,Pitcher,35,3200000
Kyle Drabek,Toronto Blue Jays,Pitcher,6,416000
Kyle Farnsworth,Tampa Bay Rays,Pitcher,31,2600000
Kyle Kendrick,Philadelphia Phillies,Pitcher,3,2450000
Kyle Lohse,St. Louis Cardinals,Pitcher,10,12187500
Kyle McClellan,St. Louis Cardinals,Pitcher,7,1375000
Lance Berkman,St. Louis Cardinals,Outfielder,6,8000000
Lance Cormier,Los Angeles Dodgers,Pitcher,16,1200000
Landon Powell,Oakland Athletics,Catcher,6,420000
Lastings Milledge,Chicago White Sox,Outfielder,8,500000
LaTroy Hawkins,Milwaukee Brewers,Pitcher,6,4250000
Laynce Nix,Washington Nationals,Outfielder,8,700000
Leo Nunez,Miami Marlins,Pitcher,24,3650000
Livan Hernandez,Washington Nationals,Pitcher,8,1250000
Logan Morrison,Miami Marlins,Outfielder,5,414000
Logan Ondrusek,Cincinnati Reds,Pitcher,11,418000
Lou Marson,Cleveland Indians,Catcher,9,424300
Lucas Duda,New York Mets,Outfielder,11,414000
Luis Ayala,New York Yankees,Pitcher,14,650000
Luis O. Rodriguez,Seattle Mariners,Second Baseman,7,600000
Luke Gregerson,San Diego Padres,Pitcher,42,447800
Luke Hochevar,Kansas City Royals,Pitcher,3,1760000
Luke Scott,Baltimore Orioles,Outfielder,25,6400000
Lyle Overbay,Pittsburgh Pirates,First Baseman,8,5000000
Madison Bumgarner,San Francisco Giants,Pitcher,11,450000
Magglio Ordonez,Detroit Tigers,Outfielder,17,10000000
Maicer Izturis,Los Angeles Angels,Second Baseman,6,3266666
Manny Parra,Milwaukee Brewers,Pitcher,17,1200000
Manny Ramirez,Tampa Bay Rays,Designated Hitter,14,2020000
Marc Rzepczynski,Toronto Blue Jays,Pitcher,8,429600
Marco Scutaro,Boston Red Sox,Shortstop,8,5500000
Marcos Mateo,Chicago Cubs,Pitcher,7,417000
Marcus Thames,Los Angeles Dodgers,Outfielder,9,1000000
Mariano Rivera,New York Yankees,Pitcher,10,14911700
Mark Buehrle,Chicago White Sox,Pitcher,25,14000000
Mark De Rosa,San Francisco Giants,Third Baseman,9,6000000
Mark Ellis,Oakland Athletics,Second Baseman,29,6000000
Mark Kotsay,Milwaukee Brewers,Outfielder,18,800000
Mark Lowe,Texas Rangers,Pitcher,7,1200000
Mark Melancon,Houston Astros,Pitcher,3,421000
Mark Reynolds,Baltimore Orioles,Third Baseman,10,5333333
Mark Teahen,Chicago White Sox,Third Baseman,6,4750000
Mark Teixeira,New York Yankees,First Baseman,9,23125000
Mark Trumbo,Los Angeles Angels,First Baseman,3,414000
Marlon Byrd,Chicago Cubs,Outfielder,15,5500000
Martin Prado,Atlanta Braves,Second Baseman,22,3100000
Mason Tobin,Texas Rangers,Pitcher,7,414000
Mat Latos,San Diego Padres,Pitcher,31,460700
Matt Albers,Boston Red Sox,Pitcher,12,875000
Matt Belisle,Colorado Rockies,Pitcher,9,2350000
Matt Cain,San Francisco Giants,Pitcher,22,7333333
Matt Capps,Minnesota Twins,Pitcher,13,7150000
Matt Diaz,Pittsburgh Pirates,Outfielder,3,2125000
Matt Downs,Houston Astros,Second Baseman,19,421000
Matt E. Young,Atlanta Braves,Second Baseman,18,414000
Matt Garza,Chicago Cubs,Pitcher,18,5950000
Matt Guerrier,Los Angeles Dodgers,Pitcher,8,2461499
Matt Harrison,Texas Rangers,Pitcher,5,428830
Matt Holliday,St. Louis Cardinals,Outfielder,15,16317774
Matt Joyce,Tampa Bay Rays,Outfielder,3,426500
Matt Kemp,Los Angeles Dodgers,Outfielder,6,7100000
Matt LaPorta,Cleveland Indians,First Baseman,7,431400
Matt Lindstrom,Colorado Rockies,Pitcher,16,2800000
Matt Maloney,Cincinnati Reds,Pitcher,11,415000
Matt Mangini,Seattle Mariners,Third Baseman,2,414500
Matt Reynolds,Colorado Rockies,Pitcher,9,415000
Matt Stairs,Washington Nationals,Outfielder,3,850000
Matt Thornton,Chicago White Sox,Pitcher,10,3000000
Matt Tolbert,Minnesota Twins,Second Baseman,6,425000
Matt Treanor,Kansas City Royals,Catcher,26,850000
Matt Wieters,Baltimore Orioles,Catcher,6,452250
Mauricio Robles,Seattle Mariners,Pitcher,29,414000
Max Scherzer,Detroit Tigers,Pitcher,16,600000
Melky Cabrera,Kansas City Royals,Outfielder,5,1250000
Melvin Mora,Arizona Diamondbacks,Third Baseman,14,2350000
Michael Bourn,Houston Astros,Outfielder,6,4400000
Michael Brantley,Cleveland Indians,Outfielder,22,421800
Michael Cuddyer,Minnesota Twins,Outfielder,36,10500000
Michael Dunn,Miami Marlins,Pitcher,18,414000
Michael Kohn,Los Angeles Angels,Pitcher,3,414000
Michael Martinez,Philadelphia Phillies,Second Baseman,11,414000
Michael Pineda,Seattle Mariners,Pitcher,29,414000
Michael Saunders,Seattle Mariners,Outfielder,11,420000
Michael Wuertz,Oakland Athletics,Pitcher,7,2800000
Michael Young,Texas Rangers,Infielder,24,16174974
Miguel Batista,St. Louis Cardinals,Pitcher,5,750000
Miguel Cabrera,Detroit Tigers,First Baseman,8,20000000
Miguel Cairo,Cincinnati Reds,Second Baseman,6,1000000
Miguel Montero,Arizona Diamondbacks,Catcher,28,3200000
Miguel Olivo,Seattle Mariners,Catcher,21,2500000
Miguel Tejada,San Francisco Giants,Third Baseman,24,6500000
Mike Adams,San Diego Padres,Pitcher,25,2535000
Mike Aviles,Kansas City Royals,Third Baseman,5,640000
Mike Baxter,San Diego Padres,Outfielder,18,414000
Mike Cameron,Boston Red Sox,Outfielder,3,7750000
Mike Crotta,Pittsburgh Pirates,Pitcher,13,414000
Mike Fontenot,San Francisco Giants,Second Baseman,10,1050000
Mike Gonzalez,Baltimore Orioles,Pitcher,6,6000000
Mike Leake,Cincinnati Reds,Pitcher,34,425000
Mike MacDougal,Los Angeles Dodgers,Pitcher,5,500000
Mike McCoy,Toronto Blue Jays,Second Baseman,12,422300
Mike Morse,Washington Nationals,Outfielder,6,1050000
Mike Napoli,Texas Rangers,Catcher,17,5800000
Mike Nickeas,New York Mets,Catcher,8,414000
Mike Pelfrey,New York Mets,Pitcher,9,3925000
Mike Stanton,Miami Marlins,Outfielder,7,416000
Milton Bradley,Seattle Mariners,Outfielder,22,13000000
Mitch Maier,Kansas City Royals,Outfielder,5,459000
Mitch Moreland,Texas Rangers,First Baseman,25,426000
Mitch Stetter,Milwaukee Brewers,Pitcher,11,427000
Mitch Talbot,Cleveland Indians,Pitcher,7,431700
Mitchell Boggs,St. Louis Cardinals,Pitcher,14,431000
Nate Adcock,Kansas City Royals,Pitcher,22,414000
Nate McLouth,Atlanta Braves,Outfielder,2,7000000
Nate Schierholtz,San Francisco Giants,Outfielder,16,432500
Neftali Feliz,Texas Rangers,Pitcher,22,457160
Neil Walker,Pittsburgh Pirates,Second Baseman,3,437000
Nelson Cruz,Texas Rangers,Outfielder,4,3650000
Nelson Figueroa,Houston Astros,Pitcher,4,900000
Nick Blackburn,Minnesota Twins,Pitcher,15,3000000
Nick Hundley,San Diego Padres,Catcher,14,439900
Nick Markakis,Baltimore Orioles,Outfielder,21,10600000
Nick Masset,Cincinnati Reds,Pitcher,6,1725000
Nick Punto,St. Louis Cardinals,Third Baseman,11,750000
Nick Swisher,New York Yankees,Outfielder,27,9100000
Nyjer Morgan,Milwaukee Brewers,Outfielder,7,471500
Octavio Dotel,Toronto Blue Jays,Pitcher,21,3000000
Omar Beltre,Texas Rangers,Pitcher,21,415000
Omar Infante,Miami Marlins,Second Baseman,26,2500000
Omar Vizquel,Chicago White Sox,Third Baseman,10,1750000
Orlando Cabrera,Cleveland Indians,Second Baseman,10,1000000
Orlando Hudson,San Diego Padres,Second Baseman,4,4000000
Pablo Sandoval,San Francisco Giants,Third Baseman,11,500000
Pat Burrell,San Francisco Giants,Outfielder,11,1000000
Pat Neshek,San Diego Padres,Pitcher,14,625000
Paul Janish,Cincinnati Reds,Shortstop,16,437500
Paul Konerko,Chicago White Sox,First Baseman,18,12000000
Paul Maholm,Pittsburgh Pirates,Pitcher,15,6250000
Pedro Alvarez,Pittsburgh Pirates,Third Baseman,5,2050000
Pedro Beato,New York Mets,Pitcher,6,414000
Pedro Feliciano,New York Yankees,Pitcher,6,3750000
Pedro Strop,Texas Rangers,Outfielder,26,416000
Pete Orr,Philadelphia Phillies,Second Baseman,11,600000
Peter Bourjos,Los Angeles Angels,Outfielder,16,414000
Peter Moylan,Atlanta Braves,Pitcher,17,2000000
Phil Coke,Detroit Tigers,Pitcher,15,440000
Phil Hughes,New York Yankees,Pitcher,28,2700000
Philip Humber,Chicago White Sox,Pitcher,14,500000
Placido Polanco,Philadelphia Phillies,Third Baseman,13,5416666
Prince Fielder,Milwaukee Brewers,First Baseman,11,15500000
R.A. Dickey,New York Mets,Pitcher,12,2750000
Rafael Betancourt,Colorado Rockies,Pitcher,13,3775000
Rafael Furcal,Los Angeles Dodgers,Shortstop,16,13000000
Rafael Perez,Cleveland Indians,Pitcher,25,1330000
Rafael Soriano,New York Yankees,Pitcher,8,10000000
Rajai Davis,Toronto Blue Jays,Outfielder,3,2500000
Ramon Castro,Chicago White Sox,Catcher,12,1200000
Ramon Hernandez,Cincinnati Reds,Catcher,6,2947318
Ramon Pena,Chicago White Sox,Pitcher,12,1600000
Ramon S. Ramirez,San Francisco Giants,Pitcher,41,1650000
Ramon Santiago,Detroit Tigers,Shortstop,12,1350000
Randy Choate,Miami Marlins,Pitcher,8,1000000
Randy Wells,Chicago Cubs,Pitcher,15,475000
Randy Wolf,Milwaukee Brewers,Pitcher,12,9500000
Raul Ibanez,Philadelphia Phillies,Outfielder,7,12166666
Reed Johnson,Chicago Cubs,Outfielder,9,900000
Reegie Corona,New York Yankees,Second Baseman,12,414000
Reggie Willits,Los Angeles Angels,Outfielder,8,775000
Reid Brignac,Tampa Bay Rays,Shortstop,7,425400
Rich Harden,Oakland Athletics,Pitcher,6,1500000
Rich Thompson,Los Angeles Angels,Pitcher,8,418000
Rick Ankiel,Washington Nationals,Outfielder,12,1500000
Rick Porcello,Detroit Tigers,Pitcher,10,1536000
Rickie Weeks,Milwaukee Brewers,Second Baseman,8,4500000
Ricky Nolasco,Miami Marlins,Pitcher,16,6000000
Ricky Romero,Toronto Blue Jays,Pitcher,35,1000000
Rob J. Johnson,San Diego Padres,Catcher,9,421700
Robert Andino,Baltimore Orioles,Infielder,4,421500
Robert Parnell,New York Mets,Pitcher,15,433500
Robinson Cano,New York Yankees,Second Baseman,15,10000000
Robinson Tejeda,Kansas City Royals,Pitcher,12,1550000
Rod Barajas,Los Angeles Dodgers,Catcher,22,3250000
Ronny Cedeno,Pittsburgh Pirates,Shortstop,6,1850000
Ross Gload,Philadelphia Phillies,First Baseman,1,1600000
Ross Ohlendorf,Pittsburgh Pirates,Pitcher,14,2025000
Roy Halladay,Philadelphia Phillies,Pitcher,20,20000000
Roy Oswalt,Philadelphia Phillies,Pitcher,6,16000000
Russell Branyan,Arizona Diamondbacks,First Baseman,22,1000000
Russell Martin,New York Yankees,Catcher,15,4000000
Ryan Braun,Milwaukee Brewers,Outfielder,9,4287500
Ryan Dempster,Chicago Cubs,Pitcher,19,13500000
Ryan Doumit,Pittsburgh Pirates,Catcher,10,5200000
Ryan Franklin,St. Louis Cardinals,Pitcher,7,3250000
Ryan Hanigan,Cincinnati Reds,Catcher,22,550000
Ryan Howard,Philadelphia Phillies,First Baseman,11,20000000
Ryan Langerhans,Seattle Mariners,Outfielder,7,525000
Ryan Ludwick,San Diego Padres,Outfielder,6,6775000
Ryan Madson,Philadelphia Phillies,Pitcher,9,4833333
Ryan Perry,Detroit Tigers,Pitcher,9,430000
Ryan Raburn,Detroit Tigers,Outfielder,11,1300000
Ryan Roberts,Arizona Diamondbacks,Second Baseman,29,423500
Ryan Rowland-Smith,Houston Astros,Pitcher,14,725000
Ryan Spilborghs,Colorado Rockies,Outfielder,8,1950000
Ryan Sweeney,Oakland Athletics,Outfielder,12,1400000
Ryan Theriot,St. Louis Cardinals,Shortstop,10,3300000
Ryan Webb,Miami Marlins,Pitcher,15,414000
Ryan Zimmerman,Washington Nationals,Third Baseman,17,9025000
Sam Fuld,Tampa Bay Rays,Outfielder,3,418300
Sam Lecure,Cincinnati Reds,Pitcher,14,414000
Samuel Deduno,San Diego Padres,Pitcher,12,414240
Samuel Demel,Arizona Diamondbacks,Pitcher,8,417000
Santiago Casilla,San Francisco Giants,Pitcher,8,1300000
Scott Baker,Minnesota Twins,Pitcher,5,5000000
Scott Cousins,Miami Marlins,Outfielder,14,414000
Scott Downs,Los Angeles Angels,Pitcher,30,5000000
Scott Feldman,Texas Rangers,Pitcher,13,4400000
Scott Hairston,New York Mets,Outfielder,28,1100000
Scott Kazmir,Los Angeles Angels,Pitcher,15,12000000
Scott Linebrink,Atlanta Braves,Pitcher,19,5500000
Scott Olsen,Pittsburgh Pirates,Pitcher,12,450000
Scott Rolen,Cincinnati Reds,Third Baseman,6,8166666
Sean Burnett,Washington Nationals,Pitcher,7,1350000
Sean Green,Milwaukee Brewers,Pitcher,30,875000
Sean J. Rodriguez,Tampa Bay Rays,Infielder,28,428600
Sean Marshall,Chicago Cubs,Pitcher,2,1600000
Sean O`Sullivan,Kansas City Royals,Pitcher,5,420500
Sergio Mitre,Milwaukee Brewers,Pitcher,15,900000
Sergio Romo,San Francisco Giants,Pitcher,8,450000
Sergio Santos,Chicago White Sox,Pitcher,10,435000
Seth Smith,Colorado Rockies,Outfielder,5,429000
Shane Victorino,Philadelphia Phillies,Outfielder,27,7500000
Shaun Marcum,Milwaukee Brewers,Pitcher,18,3950000
Shawn Camp,Toronto Blue Jays,Pitcher,8,2250000
Shawn Kelley,Seattle Mariners,Pitcher,13,420000
Shelley Duncan,Cleveland Indians,Outfielder,9,500000
Shin-Soo Choo,Cleveland Indians,Outfielder,24,3975000
Skip Schumaker,St. Louis Cardinals,Second Baseman,24,2750000
Starlin Castro,Chicago Cubs,Shortstop,8,440000
Stephen Drew,Arizona Diamondbacks,Shortstop,24,4650000
Stephen Strasburg,Washington Nationals,Pitcher,11,4375000
Steve Pearce,Pittsburgh Pirates,First Baseman,4,427500
Takashi Saito,Milwaukee Brewers,Pitcher,22,1750000
Taylor Buchholz,New York Mets,Pitcher,10,600000
Ted Lilly,Los Angeles Dodgers,Pitcher,12,8166666
Tim Byrdak,New York Mets,Pitcher,8,900000
Tim Collins,Kansas City Royals,Pitcher,6,414000
Tim Hudson,Atlanta Braves,Pitcher,17,9000000
Tim Lincecum,San Francisco Giants,Pitcher,38,14000000
Tim Stauffer,San Diego Padres,Pitcher,14,1075000
Tim Wakefield,Boston Red Sox,Pitcher,27,2000000
Todd Coffey,Washington Nationals,Pitcher,18,1350000
Todd Helton,Colorado Rockies,First Baseman,5,20275000
Tom Gorzelanny,Washington Nationals,Pitcher,6,2100000
Tom Wilhelmsen,Seattle Mariners,Pitcher,7,414000
Tommy Hanson,Atlanta Braves,Pitcher,26,456500
Tommy Hunter,Texas Rangers,Pitcher,5,442160
Tony Gwynn Jr.,Los Angeles Dodgers,Outfielder,22,675000
Tony Sipp,Cleveland Indians,Pitcher,15,436800
Torii Hunter,Los Angeles Angels,Outfielder,11,18500000
Travis Buck,Cleveland Indians,Outfielder,16,625000
Travis Hafner,Cleveland Indians,Designated Hitter,20,13000000
Travis Snider,Toronto Blue Jays,Outfielder,14,435800
Travis Wood,Cincinnati Reds,Pitcher,24,422500
Trever Miller,St. Louis Cardinals,Pitcher,29,2000000
Trevor Cahill,Oakland Athletics,Pitcher,4,440000
Trevor Crowe,Cleveland Indians,Outfielder,15,435700
Troy Tulowitzki,Colorado Rockies,Shortstop,6,5500000
Tsuyoshi Nishioka,Minnesota Twins,Second Baseman,10,3000000
Ty Wigginton,Colorado Rockies,Third Baseman,14,3500000
Tyler Clippard,Washington Nationals,Pitcher,7,443000
Tyler Colvin,Chicago Cubs,Outfielder,8,440000
Tyler Greene,St. Louis Cardinals,Shortstop,8,415500
Ubaldo Jimenez,Colorado Rockies,Pitcher,8,2800000
Vernon Wells,Los Angeles Angels,Outfielder,11,26187500
Vicente Padilla,Los Angeles Dodgers,Pitcher,11,2000000
Victor Martinez,Detroit Tigers,Catcher,12,12000000
Vinnie Pestano,Cleveland Indians,Pitcher,17,414000
Vladimir Guerrero,Baltimore Orioles,Designated Hitter,8,7611455
Wade Davis,Tampa Bay Rays,Pitcher,24,434100
Wandy Rodriguez,Houston Astros,Pitcher,6,7500000
Wes Helms,Miami Marlins,Third Baseman,27,1000000
Wil Nieves,Milwaukee Brewers,Catcher,16,775000
Will Ohman,Chicago White Sox,Pitcher,18,1500000
Will Rhymes,Detroit Tigers,Second Baseman,20,419000
Will Venable,San Diego Padres,Outfielder,33,444400
Willie Bloomquist,Arizona Diamondbacks,Outfielder,4,900000
Willie Harris,New York Mets,Outfielder,16,800000
Wilson Betemit,Kansas City Royals,Third Baseman,6,1000000
Wilson Ramos,Washington Nationals,Catcher,3,415000
Wilson Valdez,Philadelphia Phillies,Shortstop,3,560000
Wilton Lopez,Houston Astros,Pitcher,14,442000
Xavier Nady,Arizona Diamondbacks,Outfielder,18,1750000
Xavier Paul,Los Angeles Dodgers,Outfielder,13,419500
Yadier Molina,St. Louis Cardinals,Catcher,6,5312500
Yorvit Torrealba,Texas Rangers,Catcher,7,3000000
Yovani Gallardo,Milwaukee Brewers,Pitcher,21,3500000
Yunel Escobar,Toronto Blue Jays,Shortstop,17,2900000
Yuniesky Betancourt-Perez,Milwaukee Brewers,Shortstop,17,4300000
Zach Braddock,Milwaukee Brewers,Pitcher,3,424000
Zach Duke,Arizona Diamondbacks,Pitcher,13,3500000
Zack Greinke,Milwaukee Brewers,Pitcher,14,13500000
