Player,Team,Position,Experience,Salary
Brett Gardner,New York Yankees,Outfielder,20,529500
Brett Hayes,Miami Marlins,Catcher,5,414000
Brett Myers,Houston Astros,Pitcher,10,8000000
Brett Wallace,Houston Astros,First Baseman,24,418000
Brian Bocock,Philadelphia Phillies,Shortstop,30,414000
Brian Broderick,Washington Nationals,Pitcher,15,414000
Brian Duensing,Minnesota Twins,Pitcher,10,462500
Brian Fuentes,Oakland Athletics,Pitcher,23,5000000
Brian Matusz,Baltimore Orioles,Pitcher,7,1350000
Brian McCann,Atlanta Braves,Catcher,11,6700000
Brian Roberts,Baltimore Orioles,Second Baseman,11,10000000
Brian Sanches,Miami Marlins,Pitcher,10,425000
Brian Schlitter,Philadelphia Phillies,Pitcher,12,414000
Brian Schneider,Philadelphia Phillies,Catcher,28,1625000
Brian Tallet,St. Louis Cardinals,Pitcher,25,750000
Brian Wilson,San Francisco Giants,Pitcher,15,6500000
Bronson Arroyo,Cincinnati Reds,Pitcher,11,7666666
Brooks Conrad,Atlanta Braves,Third Baseman,22,427250
Bruce Chen,Kansas City Royals,Pitcher,14,2000000
Bryan Augenstein,St. Louis Cardinals,Pitcher,11,414000
Bud Norris,Houston Astros,Pitcher,10,437500
Buster Posey,San Francisco Giants,Catcher,7,575000
C.J. Wilson,Texas Rangers,Pitcher,10,7000000
Cameron Maybin,San Diego Padres,Outfielder,22,429100
Carl Crawford,Boston Red Sox,Outfielder,31,14857142
Carl Pavano,Minnesota Twins,Pitcher,6,8000000
Carlos Beltran,New York Mets,Outfielder,20,19325436
Carlos Carrasco,Cleveland Indians,Pitcher,20,415800
Carlos Gomez,Milwaukee Brewers,Outfielder,19,1500000
Carlos Gonzalez,Colorado Rockies,Outfielder,8,1428571
Carlos Guillen,Detroit Tigers,Outfielder,6,12922231
Carlos Lee,Houston Astros,Outfielder,12,19000000
Carlos Marmol,Chicago Cubs,Pitcher,19,2533333
Carlos Pena,Chicago Cubs,First Baseman,30,9959996
Carlos Quentin,Chicago White Sox,Outfielder,4,5050000
Carlos Ruiz,Philadelphia Phillies,Catcher,32,2750000
Carlos Santana,Cleveland Indians,Catcher,9,416600
Carlos Villanueva,Toronto Blue Jays,Pitcher,5,1415000
Carlos Zambrano,Chicago Cubs,Pitcher,27,18875000
Casey Blake,Los Angeles Dodgers,Third Baseman,23,5500000
Casey Janssen,Toronto Blue Jays,Pitcher,15,1095000
Casey McGehee,Milwaukee Brewers,Third Baseman,21,478000
Casper Wells,Detroit Tigers,Outfielder,11,418000
CC Sabathia,New York Yankees,Pitcher,11,24285714
Cedric Hunter,San Diego Padres,Outfielder,19,414000
Cesar Izturis,Baltimore Orioles,Shortstop,17,1500000
Cesar Ramos,Tampa Bay Rays,Pitcher,12,416700
Chad Billingsley,Los Angeles Dodgers,Pitcher,23,6275000
Chad Durbin,Cleveland Indians,Pitcher,12,800000
Chad Gaudin,Washington Nationals,Pitcher,29,900000
Chad Qualls,San Diego Padres,Pitcher,14,1500000
Charlie Morton,Pittsburgh Pirates,Pitcher,28,441000
Chase Headley,San Diego Padres,Third Baseman,22,2325000
Chase Utley,Philadelphia Phillies,Second Baseman,26,15285714
Chien-Ming Wang,Washington Nationals,Pitcher,19,1200000
Chin-Lung Hu,New York Mets,Shortstop,17,420000
Chipper Jones,Atlanta Braves,Third Baseman,20,14000000
Chone Figgins,Seattle Mariners,Second Baseman,11,9500000
Chris B. Young,Arizona Diamondbacks,Outfielder,29,5200000
Chris Capuano,New York Mets,Pitcher,16,1500000
Chris Carpenter,St. Louis Cardinals,Pitcher,3,14259403
Chris Coghlan,Miami Marlins,Outfielder,15,490000
Chris D. Johnson,Houston Astros,Third Baseman,3,424000
Chris Denorfia,San Diego Padres,Outfielder,7,800000
Chris Getz,Kansas City Royals,Second Baseman,23,443000
Chris Heisey,Cincinnati Reds,Outfielder,8,419000
Chris Iannetta,Colorado Rockies,Catcher,6,2550000
Chris Narveson,Milwaukee Brewers,Pitcher,3,441500
Chris Perez,Cleveland Indians,Pitcher,4,2225000
Chris Pettit,Los Angeles Angels,Outfielder,7,414000
Chris R. Young,New York Mets,Pitcher,23,1100000
Chris Ray,Seattle Mariners,Pitcher,10,1000000
Chris Resop,Pittsburgh Pirates,Pitcher,5,431500
Chris Sale,Chicago White Sox,Pitcher,4,425000
Chris Snyder,Pittsburgh Pirates,Catcher,7,6250000
Chris Tillman,Baltimore Orioles,Pitcher,16,417000
Chris Volstad,Miami Marlins,Pitcher,17,445000
Clay Buchholz,Boston Red Sox,Pitcher,9,555000
Clay Hensley,Miami Marlins,Pitcher,3,1400000
Clayton Kershaw,Los Angeles Dodgers,Pitcher,45,500000
Clayton Richard,San Diego Padres,Pitcher,8,468800
Cliff Lee,Philadelphia Phillies,Pitcher,3,11000000
Cliff Pennington,Oakland Athletics,Shortstop,2,420000
Clint Barmes,Houston Astros,Second Baseman,4,3925000
Coco Crisp,Oakland Athletics,Outfielder,5,5750000
Cody Ross,San Francisco Giants,Outfielder,8,6300000
Colby Lewis,Texas Rangers,Pitcher,19,2000000
Colby Rasmus,St. Louis Cardinals,Outfielder,7,443000
Cole Hamels,Philadelphia Phillies,Pitcher,15,9500000
Colin Curtis,New York Yankees,Outfielder,11,420400
Conor Jackson,Oakland Athletics,First Baseman,31,3200000
